season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2016-17,1610612739,41600111,2017-04-15,IND,CLE,1610612754,109,108,W,rnd1,1
2016-17,1610612739,41600112,2017-04-17,IND,CLE,1610612754,117,111,W,rnd1,2
2016-17,1610612739,41600113,2017-04-20,CLE,IND,1610612754,119,114,W,rnd1,3
2016-17,1610612739,41600114,2017-04-23,CLE,IND,1610612754,106,102,W,rnd1,4
2016-17,1610612739,41600211,2017-05-01,TOR,CLE,1610612761,116,105,W,sf,1
2016-17,1610612739,41600212,2017-05-03,TOR,CLE,1610612761,125,103,W,sf,2
2016-17,1610612739,41600213,2017-05-05,CLE,TOR,1610612761,115,94,W,sf,3
2016-17,1610612739,41600214,2017-05-07,CLE,TOR,1610612761,109,102,W,sf,4
2016-17,1610612739,41600301,2017-05-17,CLE,BOS,1610612738,117,104,W,conf,1
2016-17,1610612739,41600302,2017-05-19,CLE,BOS,1610612738,130,86,W,conf,2
2016-17,1610612739,41600303,2017-05-21,BOS,CLE,1610612738,108,111,L,conf,3
2016-17,1610612739,41600304,2017-05-23,BOS,CLE,1610612738,112,99,W,conf,4
2016-17,1610612739,41600305,2017-05-25,CLE,BOS,1610612738,135,102,W,conf,5
2016-17,1610612739,41600401,2017-06-01,CLE,GSW,1610612744,91,113,L,finals,1
2016-17,1610612739,41600402,2017-06-04,CLE,GSW,1610612744,113,132,L,finals,2
2016-17,1610612739,41600403,2017-06-07,GSW,CLE,1610612744,113,118,L,finals,3
2016-17,1610612739,41600404,2017-06-09,GSW,CLE,1610612744,137,116,W,finals,4
2016-17,1610612739,41600405,2017-06-12,CLE,GSW,1610612744,120,129,L,finals,5
