player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
201143,Al Horford,Al,1610612755,PHI,34.0,4,0,4,0.0,128.48,0.6,1.7,0.0,5.6,10.1,7.0,11.5,27.5,1.4,0.6,3.9,2.2,25.6,132,165,77,165,112,150,74,141,86,58,62,185,151,23,123,149,116,145
202692,Alec Burks,Alec,1610612755,PHI,28.0,4,0,4,0.0,94.80666666666669,3.0,3.4,0.0,6.8,10.3,9.1,9.1,25.8,1.1,0.8,2.7,3.0,30.2,132,165,77,165,126,48,27,141,65,64,134,145,159,39,141,82,82,95
1627788,Furkan Korkmaz,Furkan,1610612755,PHI,22.0,4,0,4,0.0,40.245,0.0,0.0,0.0,0.0,2.7,10.7,10.7,17.9,0.0,0.0,2.7,1.8,12.7,132,165,77,165,155,157,150,141,180,23,175,174,197,140,1,86,135,204
203954,Joel Embiid,Joel,1610612755,PHI,26.0,4,0,4,0.0,144.62166666666667,3.2,3.5,0.7,10.0,14.9,9.5,13.9,31.4,1.2,0.5,4.5,11.0,50.9,132,165,77,165,100,39,23,116,30,184,150,200,88,30,115,175,2,12
1626196,Josh Richardson,Josh,1610612755,PHI,26.0,4,0,4,0.0,144.21,3.5,1.0,2.0,4.0,14.5,7.5,15.2,32.0,0.5,1.7,3.0,2.7,27.1,132,165,77,165,101,28,117,45,120,181,76,205,81,88,205,102,98,125
203124,Kyle O'Quinn,Kyle,1610612755,PHI,30.0,1,0,1,0.0,5.65,0.0,0.0,0.0,0.0,6.4,6.4,0.0,25.5,0.0,0.0,19.1,0.0,4.5,199,165,21,165,197,157,150,141,180,30,55,1,161,140,1,217,183,210
1629680,Matisse Thybulle,Matisse,1610612755,PHI,23.0,4,0,4,0.0,75.36,0.0,1.4,0.0,1.9,9.1,6.2,11.9,28.7,0.5,0.0,2.9,0.0,13.6,132,165,77,165,136,157,86,141,164,45,51,191,137,92,1,97,183,200
203118,Mike Scott,Mike,1610612755,PHI,31.0,4,0,4,0.0,19.883333333333333,0.0,0.0,0.0,3.6,10.9,5.4,3.6,25.3,0.0,0.0,3.6,3.6,31.0,132,165,77,165,178,157,150,141,131,84,36,39,164,140,1,128,61,88
203658,Norvel Pelle,Norvel,1610612755,PHI,27.0,1,0,1,0.0,6.516666666666667,0.0,0.0,0.0,0.0,5.5,5.5,0.0,22.1,5.5,0.0,0.0,0.0,33.1,199,165,21,165,195,157,150,141,180,28,39,1,188,1,1,1,183,67
203526,Raul Neto,Raul,1610612755,PHI,28.0,2,0,2,0.0,25.746666666666663,0.0,0.0,0.0,2.8,9.8,1.4,5.6,33.6,0.0,2.8,0.0,5.6,25.3,182,165,40,165,167,157,150,141,147,56,24,61,56,140,211,1,22,146
1629003,Shake Milton,Shake,1610612755,PHI,23.0,4,0,4,0.0,125.90333333333334,2.0,0.0,0.6,5.1,14.3,9.1,13.4,30.3,0.0,0.9,3.7,2.0,25.8,132,165,77,165,115,94,150,126,97,178,137,199,111,140,155,133,126,143
202699,Tobias Harris,Tobias,1610612755,PHI,27.0,4,0,4,0.0,148.57666666666665,1.7,2.4,1.5,7.3,13.8,8.5,15.3,31.0,0.2,1.0,2.7,2.7,33.1,132,165,77,165,97,103,48,70,60,171,109,206,96,123,173,83,103,68
