season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2021-22,1610612749,42100121,2022-04-17,CHI,MIL,1610612741,93,86,W,rnd1,1
2021-22,1610612749,42100122,2022-04-20,CHI,MIL,1610612741,110,114,L,rnd1,2
2021-22,1610612749,42100123,2022-04-22,MIL,CHI,1610612741,111,81,W,rnd1,3
2021-22,1610612749,42100124,2022-04-24,MIL,CHI,1610612741,119,95,W,rnd1,4
2021-22,1610612749,42100125,2022-04-27,CHI,MIL,1610612741,116,100,W,rnd1,5
2021-22,1610612749,42100211,2022-05-01,MIL,BOS,1610612738,101,89,W,sf,1
2021-22,1610612749,42100212,2022-05-03,MIL,BOS,1610612738,86,109,L,sf,2
2021-22,1610612749,42100213,2022-05-07,BOS,MIL,1610612738,103,101,W,sf,3
2021-22,1610612749,42100214,2022-05-09,BOS,MIL,1610612738,108,116,L,sf,4
2021-22,1610612749,42100215,2022-05-11,MIL,BOS,1610612738,110,107,W,sf,5
2021-22,1610612749,42100216,2022-05-13,BOS,MIL,1610612738,95,108,L,sf,6
2021-22,1610612749,42100217,2022-05-15,MIL,BOS,1610612738,81,109,L,sf,7
