player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1629655,Daniel Gafford,1610612764,WAS,23.0,72,72,0.966,282,396,0.712,0.712,0.966,282,396,0.712,0.0,0,0,
1628398,Kyle Kuzma,1610612764,WAS,26.0,66,66,0.397,230,372,0.618,0.618,0.397,230,372,0.618,0.0,0,0,
203078,Bradley Beal,1610612764,WAS,29.0,40,40,0.424,181,327,0.554,0.554,0.424,181,327,0.554,0.0,0,0,
204001,Kristaps Porziņģis,1610612764,WAS,26.0,51,50,0.379,175,291,0.601,0.601,0.379,175,291,0.601,0.0,0,0,
1630166,Deni Avdija,1610612764,WAS,21.0,82,75,0.48,155,278,0.558,0.558,0.48,155,278,0.558,0.0,0,0,
203526,Raul Neto,1610612764,WAS,30.0,70,63,0.512,125,226,0.553,0.553,0.512,125,226,0.553,0.0,0,0,
203484,Kentavious Caldwell-Pope,1610612764,WAS,29.0,77,69,0.214,93,178,0.522,0.522,0.214,93,178,0.522,0.0,0,0,
1630557,Corey Kispert,1610612764,WAS,23.0,77,63,0.292,106,150,0.707,0.707,0.292,106,150,0.707,0.0,0,0,
202397,Ish Smith,1610612764,WAS,33.0,64,50,0.335,62,141,0.44,0.44,0.335,62,141,0.44,0.0,0,0,
1629060,Rui Hachimura,1610612764,WAS,24.0,42,37,0.317,79,120,0.658,0.658,0.317,79,120,0.658,0.0,0,0,
203107,Tomas Satoransky,1610612764,WAS,30.0,55,44,0.471,46,90,0.511,0.511,0.471,46,90,0.511,0.0,0,0,
1628418,Thomas Bryant,1610612764,WAS,24.0,27,24,0.554,54,82,0.659,0.659,0.554,54,82,0.659,0.0,0,0,
1630264,Anthony Gill,1610612764,WAS,29.0,44,28,0.752,47,82,0.573,0.573,0.752,47,82,0.573,0.0,0,0,
202954,Brad Wanamaker,1610612764,WAS,32.0,23,18,0.455,13,35,0.371,0.371,0.455,13,35,0.371,0.0,0,0,
1630176,Vernon Carey Jr.,1610612764,WAS,21.0,7,2,0.615,6,8,0.75,0.75,0.615,6,8,0.75,0.0,0,0,
1630225,Isaiah Todd,1610612764,WAS,20.0,12,6,0.269,2,7,0.286,0.286,0.269,2,7,0.286,0.0,0,0,
1630648,Jordan Schakel,1610612764,WAS,24.0,4,2,0.364,0,4,0.0,0.0,0.364,0,4,0.0,0.0,0,0,
1628591,Craig Sword,1610612764,WAS,28.0,3,1,0.75,3,3,1.0,1.0,0.75,3,3,1.0,0.0,0,0,
1629682,Tremont Waters,1610612764,WAS,24.0,3,2,0.214,1,3,0.333,0.333,0.214,1,3,0.333,0.0,0,0,
1630216,Cassius Winston,1610612764,WAS,24.0,7,1,0.182,0,2,0.0,0.0,0.182,0,2,0.0,0.0,0,0,
1630555,Joel Ayayi,1610612764,WAS,22.0,7,1,0.167,0,1,0.0,0.0,0.167,0,1,0.0,0.0,0,0,
1630692,Jordan Goodwin,1610612764,WAS,23.0,2,1,0.333,0,1,0.0,0.0,0.333,0,1,0.0,0.0,0,0,
