season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2017-18,1610612747,21700016,2017-10-19,LAC,LAL,1610612746,1,92,108,L
2017-18,1610612747,21700026,2017-10-20,LAL,PHX,1610612756,2,132,130,W
2017-18,1610612747,21700040,2017-10-22,NOP,LAL,1610612740,3,112,119,L
2017-18,1610612747,21700064,2017-10-25,WAS,LAL,1610612764,4,102,99,W
2017-18,1610612747,21700076,2017-10-27,TOR,LAL,1610612761,5,92,101,L
2017-18,1610612747,21700082,2017-10-28,LAL,UTA,1610612762,6,81,96,L
2017-18,1610612747,21700104,2017-10-31,DET,LAL,1610612765,7,113,93,W
2017-18,1610612747,21700118,2017-11-02,LAL,POR,1610612757,8,110,113,L
2017-18,1610612747,21700130,2017-11-03,BKN,LAL,1610612751,9,124,112,W
2017-18,1610612747,21700145,2017-11-05,MEM,LAL,1610612763,10,107,102,W
2017-18,1610612747,21700161,2017-11-08,LAL,BOS,1610612738,11,96,107,L
2017-18,1610612747,21700164,2017-11-09,LAL,WAS,1610612764,12,95,111,L
2017-18,1610612747,21700182,2017-11-11,LAL,MIL,1610612749,13,90,98,L
2017-18,1610612747,21700196,2017-11-13,LAL,PHX,1610612756,14,100,93,W
2017-18,1610612747,21700214,2017-11-15,PHI,LAL,1610612755,15,109,115,L
2017-18,1610612747,21700227,2017-11-17,PHX,LAL,1610612756,16,113,122,L
2017-18,1610612747,21700240,2017-11-19,DEN,LAL,1610612743,17,127,109,W
2017-18,1610612747,21700252,2017-11-21,CHI,LAL,1610612741,18,103,94,W
2017-18,1610612747,21700266,2017-11-22,LAL,SAC,1610612758,19,102,113,L
2017-18,1610612747,21700297,2017-11-27,LAL,LAC,1610612746,20,115,120,L
2017-18,1610612747,21700312,2017-11-29,GSW,LAL,1610612744,21,123,127,L
2017-18,1610612747,21700332,2017-12-02,LAL,DEN,1610612743,22,100,115,L
2017-18,1610612747,21700338,2017-12-03,HOU,LAL,1610612745,23,95,118,L
2017-18,1610612747,21700363,2017-12-07,LAL,PHI,1610612755,24,107,104,W
2017-18,1610612747,21700377,2017-12-09,LAL,CHA,1610612766,25,110,99,W
2017-18,1610612747,21700399,2017-12-12,LAL,NYK,1610612752,26,109,113,L
2017-18,1610612747,21700415,2017-12-14,LAL,CLE,1610612739,27,112,121,L
2017-18,1610612747,21700450,2017-12-18,GSW,LAL,1610612744,28,114,116,L
2017-18,1610612747,21700459,2017-12-20,LAL,HOU,1610612745,29,122,116,W
2017-18,1610612747,21700479,2017-12-22,LAL,GSW,1610612744,30,106,113,L
2017-18,1610612747,21700491,2017-12-23,POR,LAL,1610612757,31,92,95,L
2017-18,1610612747,21700497,2017-12-25,MIN,LAL,1610612750,32,104,121,L
2017-18,1610612747,21700515,2017-12-27,MEM,LAL,1610612763,33,99,109,L
2017-18,1610612747,21700529,2017-12-29,LAC,LAL,1610612746,34,106,121,L
2017-18,1610612747,21700540,2017-12-31,LAL,HOU,1610612745,35,142,148,L
2017-18,1610612747,21700548,2018-01-01,LAL,MIN,1610612750,36,96,114,L
2017-18,1610612747,21700565,2018-01-03,OKC,LAL,1610612760,37,96,133,L
2017-18,1610612747,21700577,2018-01-05,CHA,LAL,1610612766,38,94,108,L
2017-18,1610612747,21700590,2018-01-07,ATL,LAL,1610612737,39,132,113,W
2017-18,1610612747,21700602,2018-01-09,SAC,LAL,1610612758,40,99,86,W
2017-18,1610612747,21700617,2018-01-11,SAS,LAL,1610612759,41,93,81,W
2017-18,1610612747,21700627,2018-01-13,LAL,DAL,1610612742,42,107,101,W
2017-18,1610612747,21700645,2018-01-15,LAL,MEM,1610612763,43,114,123,L
2017-18,1610612747,21700660,2018-01-17,LAL,OKC,1610612760,44,90,114,L
2017-18,1610612747,21700673,2018-01-19,IND,LAL,1610612754,45,99,86,W
2017-18,1610612747,21700684,2018-01-21,NYK,LAL,1610612752,46,127,107,W
2017-18,1610612747,21700700,2018-01-23,BOS,LAL,1610612738,47,108,107,W
2017-18,1610612747,21700717,2018-01-26,LAL,CHI,1610612741,48,108,103,W
2017-18,1610612747,21700735,2018-01-28,LAL,TOR,1610612761,49,111,123,L
2017-18,1610612747,21700754,2018-01-31,LAL,ORL,1610612753,50,105,127,L
2017-18,1610612747,21700768,2018-02-02,LAL,BKN,1610612751,51,102,99,W
2017-18,1610612747,21700788,2018-02-04,LAL,OKC,1610612760,52,108,104,W
2017-18,1610612747,21700804,2018-02-06,PHX,LAL,1610612756,53,112,93,W
2017-18,1610612747,21700816,2018-02-08,OKC,LAL,1610612760,54,106,81,W
2017-18,1610612747,21700830,2018-02-10,LAL,DAL,1610612742,55,123,130,L
2017-18,1610612747,21700862,2018-02-14,LAL,NOP,1610612740,56,117,139,L
2017-18,1610612747,21700866,2018-02-15,LAL,MIN,1610612750,57,111,119,L
2017-18,1610612747,21700883,2018-02-23,DAL,LAL,1610612742,58,124,102,W
2017-18,1610612747,21700891,2018-02-24,LAL,SAC,1610612758,59,113,108,W
2017-18,1610612747,21700897,2018-02-26,LAL,ATL,1610612737,60,123,104,W
2017-18,1610612747,21700922,2018-03-01,LAL,MIA,1610612748,61,131,113,W
2017-18,1610612747,21700940,2018-03-03,LAL,SAS,1610612759,62,116,112,W
2017-18,1610612747,21700956,2018-03-05,POR,LAL,1610612757,63,103,108,L
2017-18,1610612747,21700971,2018-03-07,ORL,LAL,1610612753,64,108,107,W
2017-18,1610612747,21700983,2018-03-09,LAL,DEN,1610612743,65,116,125,L
2017-18,1610612747,21701000,2018-03-11,CLE,LAL,1610612739,66,127,113,W
2017-18,1610612747,21701015,2018-03-13,DEN,LAL,1610612743,67,112,103,W
2017-18,1610612747,21701019,2018-03-14,LAL,GSW,1610612744,68,106,117,L
2017-18,1610612747,21701034,2018-03-16,MIA,LAL,1610612748,69,91,92,L
2017-18,1610612747,21701051,2018-03-19,LAL,IND,1610612754,70,100,110,L
2017-18,1610612747,21701075,2018-03-22,LAL,NOP,1610612740,71,125,128,L
2017-18,1610612747,21701092,2018-03-24,LAL,MEM,1610612763,72,100,93,W
2017-18,1610612747,21701104,2018-03-26,LAL,DET,1610612765,73,106,112,L
2017-18,1610612747,21701123,2018-03-28,DAL,LAL,1610612742,74,103,93,W
