season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2023-24,1610612750,42300161,2024-04-20,PHX,MIN,1610612756,120,95,W,rnd1,1
2023-24,1610612750,42300162,2024-04-23,PHX,MIN,1610612756,105,93,W,rnd1,2
2023-24,1610612750,42300163,2024-04-26,MIN,PHX,1610612756,126,109,W,rnd1,3
2023-24,1610612750,42300164,2024-04-28,MIN,PHX,1610612756,122,116,W,rnd1,4
2023-24,1610612750,42300231,2024-05-04,MIN,DEN,1610612743,106,99,W,sf,1
2023-24,1610612750,42300232,2024-05-06,MIN,DEN,1610612743,106,80,W,sf,2
2023-24,1610612750,42300233,2024-05-10,DEN,MIN,1610612743,90,117,L,sf,3
2023-24,1610612750,42300234,2024-05-12,DEN,MIN,1610612743,107,115,L,sf,4
2023-24,1610612750,42300235,2024-05-14,MIN,DEN,1610612743,97,112,L,sf,5
2023-24,1610612750,42300236,2024-05-16,DEN,MIN,1610612743,115,70,W,sf,6
2023-24,1610612750,42300237,2024-05-19,MIN,DEN,1610612743,98,90,W,sf,7
2023-24,1610612750,42300311,2024-05-22,DAL,MIN,1610612742,105,108,L,conf,1
2023-24,1610612750,42300312,2024-05-24,DAL,MIN,1610612742,108,109,L,conf,2
2023-24,1610612750,42300313,2024-05-26,MIN,DAL,1610612742,107,116,L,conf,3
2023-24,1610612750,42300314,2024-05-28,MIN,DAL,1610612742,105,100,W,conf,4
2023-24,1610612750,42300315,2024-05-30,DAL,MIN,1610612742,103,124,L,conf,5
