season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2015-16,1610612737,41500131,2016-04-16,BOS,ATL,1610612738,102,101,W,rnd1,1
2015-16,1610612737,41500132,2016-04-19,BOS,ATL,1610612738,89,72,W,rnd1,2
2015-16,1610612737,41500133,2016-04-22,ATL,BOS,1610612738,103,111,L,rnd1,3
2015-16,1610612737,41500134,2016-04-24,ATL,BOS,1610612738,95,104,L,rnd1,4
2015-16,1610612737,41500135,2016-04-26,BOS,ATL,1610612738,110,83,W,rnd1,5
2015-16,1610612737,41500136,2016-04-28,ATL,BOS,1610612738,104,92,W,rnd1,6
2015-16,1610612737,41500201,2016-05-02,ATL,CLE,1610612739,93,104,L,sf,1
2015-16,1610612737,41500202,2016-05-04,ATL,CLE,1610612739,98,123,L,sf,2
2015-16,1610612737,41500203,2016-05-06,CLE,ATL,1610612739,108,121,L,sf,3
2015-16,1610612737,41500204,2016-05-08,CLE,ATL,1610612739,99,100,L,sf,4
