season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2020-21,1610612751,42000111,2021-05-22,BOS,BKN,1610612738,104,93,W,rnd1,1
2020-21,1610612751,42000112,2021-05-25,BOS,BKN,1610612738,130,108,W,rnd1,2
2020-21,1610612751,42000113,2021-05-28,BKN,BOS,1610612738,119,125,L,rnd1,3
2020-21,1610612751,42000114,2021-05-30,BKN,BOS,1610612738,141,126,W,rnd1,4
2020-21,1610612751,42000115,2021-06-01,BOS,BKN,1610612738,123,109,W,rnd1,5
2020-21,1610612751,42000211,2021-06-05,MIL,BKN,1610612749,115,107,W,sf,1
2020-21,1610612751,42000212,2021-06-07,MIL,BKN,1610612749,125,86,W,sf,2
2020-21,1610612751,42000213,2021-06-10,BKN,MIL,1610612749,83,86,L,sf,3
2020-21,1610612751,42000214,2021-06-13,BKN,MIL,1610612749,96,107,L,sf,4
2020-21,1610612751,42000215,2021-06-15,MIL,BKN,1610612749,114,108,W,sf,5
2020-21,1610612751,42000216,2021-06-17,BKN,MIL,1610612749,89,104,L,sf,6
2020-21,1610612751,42000217,2021-06-19,MIL,BKN,1610612749,111,115,L,sf,7
