season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2017-18,1610612738,41700111,2018-04-15,MIL,BOS,1610612749,113,107,W,rnd1,1
2017-18,1610612738,41700112,2018-04-17,MIL,BOS,1610612749,120,106,W,rnd1,2
2017-18,1610612738,41700113,2018-04-20,BOS,MIL,1610612749,92,116,L,rnd1,3
2017-18,1610612738,41700114,2018-04-22,BOS,MIL,1610612749,102,104,L,rnd1,4
2017-18,1610612738,41700115,2018-04-24,MIL,BOS,1610612749,92,87,W,rnd1,5
2017-18,1610612738,41700116,2018-04-26,BOS,MIL,1610612749,86,97,L,rnd1,6
2017-18,1610612738,41700117,2018-04-28,MIL,BOS,1610612749,112,96,W,rnd1,7
2017-18,1610612738,41700211,2018-04-30,PHI,BOS,1610612755,117,101,W,sf,1
2017-18,1610612738,41700212,2018-05-03,PHI,BOS,1610612755,108,103,W,sf,2
2017-18,1610612738,41700213,2018-05-05,BOS,PHI,1610612755,101,98,W,sf,3
2017-18,1610612738,41700214,2018-05-07,BOS,PHI,1610612755,92,103,L,sf,4
2017-18,1610612738,41700215,2018-05-09,PHI,BOS,1610612755,114,112,W,sf,5
2017-18,1610612738,41700301,2018-05-13,CLE,BOS,1610612739,108,83,W,conf,1
2017-18,1610612738,41700302,2018-05-15,CLE,BOS,1610612739,107,94,W,conf,2
2017-18,1610612738,41700303,2018-05-19,BOS,CLE,1610612739,86,116,L,conf,3
2017-18,1610612738,41700304,2018-05-21,BOS,CLE,1610612739,102,111,L,conf,4
2017-18,1610612738,41700305,2018-05-23,CLE,BOS,1610612739,96,83,W,conf,5
2017-18,1610612738,41700306,2018-05-25,BOS,CLE,1610612739,99,109,L,conf,6
2017-18,1610612738,41700307,2018-05-27,CLE,BOS,1610612739,79,87,L,conf,7
