CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT,PLUSMINUS
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,29.0,18,18,0.517,57,155,0.368,0.379,-0.012
1628973,Jalen Brunson,1610612752,NYK,G,28.0,18,18,0.527,54,149,0.362,0.375,-0.013
1628384,OG Anunoby,1610612752,NYK,F-G,27.0,18,18,0.53,47,132,0.356,0.377,-0.021
1629614,Andrew Nembhard,1610612754,IND,G-F,25.0,18,18,0.478,41,120,0.342,0.386,-0.044
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,18,18,0.5,45,119,0.378,0.379,-0.001
1630169,Tyrese Haliburton,1610612754,IND,G,25.0,18,18,0.492,40,119,0.336,0.39,-0.054
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,18,18,0.419,44,117,0.376,0.388,-0.012
1631128,Christian Braun,1610612743,DEN,G,24.0,14,14,0.428,39,113,0.345,0.387,-0.042
1627750,Jamal Murray,1610612743,DEN,G,28.0,14,14,0.44,38,111,0.342,0.391,-0.049
1628404,Josh Hart,1610612752,NYK,G,30.0,18,18,0.434,37,109,0.339,0.373,-0.034
1630183,Jaden McDaniels,1610612750,MIN,F,24.0,15,15,0.529,40,108,0.37,0.368,0.003
1626167,Myles Turner,1610612754,IND,C-F,29.0,18,18,0.381,39,104,0.375,0.387,-0.012
1629652,Luguentz Dort,1610612760,OKC,G,26.0,18,18,0.515,30,102,0.294,0.389,-0.095
203497,Rudy Gobert,1610612750,MIN,C,32.0,15,15,0.446,27,100,0.27,0.373,-0.103
1628969,Mikal Bridges,1610612752,NYK,G-F,28.0,18,18,0.423,34,96,0.354,0.391,-0.037
1627783,Pascal Siakam,1610612754,IND,F,31.0,18,18,0.384,30,94,0.319,0.377,-0.058
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,18,17,0.452,40,94,0.426,0.4,0.025
201143,Al Horford,1610612738,BOS,C-F,39.0,11,11,0.506,28,89,0.315,0.351,-0.036
1641717,Cason Wallace,1610612760,OKC,G,21.0,18,18,0.503,30,89,0.337,0.38,-0.043
203944,Julius Randle,1610612750,MIN,F-C,30.0,15,15,0.475,38,87,0.437,0.369,0.068
1629675,Naz Reid,1610612750,MIN,C-F,25.0,15,15,0.506,37,84,0.44,0.372,0.069
203999,Nikola Jokić,1610612743,DEN,C,30.0,14,14,0.288,30,82,0.366,0.384,-0.018
1630162,Anthony Edwards,1610612750,MIN,G,23.0,15,15,0.554,25,82,0.305,0.37,-0.065
203932,Aaron Gordon,1610612743,DEN,F,29.0,14,14,0.455,28,80,0.35,0.389,-0.039
1627936,Alex Caruso,1610612760,OKC,G,31.0,18,18,0.432,24,79,0.304,0.386,-0.082
1627826,Ivica Zubac,1610612746,LAC,C,28.0,7,7,0.494,37,78,0.474,0.413,0.062
1629011,Mitchell Robinson,1610612752,NYK,C-F,27.0,18,17,0.528,27,75,0.36,0.39,-0.03
1630174,Aaron Nesmith,1610612754,IND,G-F,25.0,18,18,0.389,23,75,0.307,0.388,-0.081
1628401,Derrick White,1610612738,BOS,G,30.0,11,11,0.442,23,72,0.319,0.363,-0.044
203110,Draymond Green,1610612744,GSW,F,35.0,12,12,0.33,20,70,0.286,0.359,-0.073
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,11,11,0.496,22,65,0.338,0.36,-0.022
1628386,Jarrett Allen,1610612739,CLE,C,27.0,9,9,0.47,28,63,0.444,0.391,0.054
1630578,Alperen Sengun,1610612745,HOU,C,22.0,7,7,0.596,23,62,0.371,0.364,0.007
1630167,Obi Toppin,1610612754,IND,F,27.0,18,18,0.575,18,61,0.295,0.38,-0.085
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,18,17,0.397,21,60,0.35,0.391,-0.041
1630596,Evan Mobley,1610612739,CLE,C,23.0,8,8,0.487,21,58,0.362,0.384,-0.022
1629008,Michael Porter Jr.,1610612743,DEN,F,26.0,14,14,0.416,21,57,0.368,0.386,-0.018
202710,Jimmy Butler III,1610612744,GSW,F,35.0,11,11,0.452,25,57,0.439,0.372,0.067
1627741,Buddy Hield,1610612744,GSW,G,32.0,12,12,0.408,25,53,0.472,0.369,0.102
204456,T.J. McConnell,1610612754,IND,G,33.0,18,17,0.616,19,53,0.358,0.39,-0.031
1629638,Nickeil Alexander-Walker,1610612750,MIN,G,26.0,15,15,0.414,20,53,0.377,0.378,0.0
1628978,Donte DiVincenzo,1610612750,MIN,G,28.0,15,15,0.491,19,52,0.365,0.376,-0.01
1627832,Fred VanVleet,1610612745,HOU,G,31.0,7,7,0.5,21,52,0.404,0.361,0.043
1628415,Dillon Brooks,1610612745,HOU,G-F,29.0,7,7,0.505,15,49,0.306,0.368,-0.062
1628436,Luke Kornet,1610612738,BOS,C-F,29.0,11,11,0.45,15,49,0.306,0.354,-0.048
1641708,Amen Thompson,1610612745,HOU,G-F,22.0,7,7,0.69,21,49,0.429,0.371,0.057
1630540,Miles McBride,1610612752,NYK,G,24.0,18,17,0.431,21,47,0.447,0.387,0.06
1629622,Max Strus,1610612739,CLE,G-F,29.0,9,9,0.431,15,47,0.319,0.394,-0.075
