season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2024-25,1610612744,42400151,2025-04-20,GSW,HOU,1610612745,95,85,W,rnd1,1
2024-25,1610612744,42400152,2025-04-23,GSW,HOU,1610612745,94,109,L,rnd1,2
2024-25,1610612744,42400153,2025-04-26,HOU,GSW,1610612745,104,93,W,rnd1,3
2024-25,1610612744,42400154,2025-04-28,HOU,GSW,1610612745,109,106,W,rnd1,4
2024-25,1610612744,42400155,2025-04-30,GSW,HOU,1610612745,116,131,L,rnd1,5
2024-25,1610612744,42400156,2025-05-02,HOU,GSW,1610612745,107,115,L,rnd1,6
2024-25,1610612744,42400157,2025-05-04,GSW,HOU,1610612745,103,89,W,rnd1,7
2024-25,1610612744,42400231,2025-05-06,GSW,MIN,1610612750,99,88,W,sf,1
2024-25,1610612744,42400232,2025-05-08,GSW,MIN,1610612750,93,117,L,sf,2
2024-25,1610612744,42400233,2025-05-10,MIN,GSW,1610612750,97,102,L,sf,3
2024-25,1610612744,42400234,2025-05-12,MIN,GSW,1610612750,110,117,L,sf,4
2024-25,1610612744,42400235,2025-05-14,GSW,MIN,1610612750,110,121,L,sf,5
