season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2021-22,1610612755,42100131,2022-04-16,TOR,PHI,1610612761,131,111,W,20,rnd1,1
2021-22,1610612755,42100132,2022-04-18,TOR,PHI,1610612761,112,97,W,15,rnd1,2
2021-22,1610612755,42100133,2022-04-20,PHI,TOR,1610612761,104,101,W,3,rnd1,3
2021-22,1610612755,42100134,2022-04-23,PHI,TOR,1610612761,102,110,L,-8,rnd1,4
2021-22,1610612755,42100135,2022-04-25,TOR,PHI,1610612761,88,103,L,-15,rnd1,5
2021-22,1610612755,42100136,2022-04-28,PHI,TOR,1610612761,132,97,W,35,rnd1,6
2021-22,1610612755,42100201,2022-05-02,PHI,MIA,1610612748,92,106,L,-14,sf,1
2021-22,1610612755,42100202,2022-05-04,PHI,MIA,1610612748,103,119,L,-16,sf,2
2021-22,1610612755,42100203,2022-05-06,MIA,PHI,1610612748,99,79,W,20,sf,3
2021-22,1610612755,42100204,2022-05-08,MIA,PHI,1610612748,116,108,W,8,sf,4
2021-22,1610612755,42100205,2022-05-10,PHI,MIA,1610612748,85,120,L,-35,sf,5
2021-22,1610612755,42100206,2022-05-12,MIA,PHI,1610612748,90,99,L,-9,sf,6
