season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2020-21,1629750,Javonte Green,Javonte,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,23.2,0.0,2.0,0.0,6.0,4.0,9.0,2.0,18.0,1.0,0.0,3.0,2.0,24.9,1,1,1,1,11756,10450,4436,8314,5533,5618,16732,4043,13571,2271,1,16132,6289,8263,1,23:14,2020,2021
2020-21,1629632,Coby White,Coby,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,31.3,0.0,0.0,0.0,2.0,17.0,12.0,12.0,34.0,1.0,0.0,1.0,3.0,34.5,1,1,1,1,5627,10450,8917,8314,11929,21566,20146,20034,3716,2271,1,4919,3793,4172,1,31:16,2020,2021
2020-21,1627853,Ryan Arcidiacono,Ryan,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,16.7,3.0,0.0,3.0,2.0,2.0,4.0,0.0,8.0,0.0,0.0,3.0,1.0,20.8,1,1,1,1,16428,3656,8917,2559,11929,2507,7453,1,19259,7210,1,16132,10308,10603,1,16:44,2020,2021
2020-21,1628374,Lauri Markkanen,Lauri,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,24.8,0.0,0.0,0.0,4.0,17.0,9.0,9.0,30.0,0.0,1.0,1.0,2.0,22.5,1,1,1,1,10607,10450,8917,8314,8241,21566,16732,17072,5704,7210,15321,4919,6289,9581,1,24:46,2020,2021
2020-21,1630172,Patrick Williams,Patrick,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,29.6,2.0,4.0,0.0,8.0,12.0,12.0,12.0,32.0,2.0,0.0,2.0,2.0,26.9,1,1,1,1,6873,5653,1490,8314,3599,17651,20146,20034,4664,697,1,10833,6289,7248,1,29:38,2020,2021
2020-21,1629653,Devon Dotson,Devon,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,21.4,6.0,0.0,2.0,8.0,7.0,7.0,0.0,10.0,0.0,1.0,2.0,0.0,22.4,1,1,1,1,13127,827,8917,4206,3599,10568,13510,1,18333,7210,15321,10833,16020,9641,1,21:25,2020,2021
2020-21,201152,Thaddeus Young,Thaddeus,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,25.6,4.0,2.0,2.0,16.0,12.0,9.0,3.0,24.0,3.0,2.0,2.0,4.0,37.9,1,1,1,1,10026,2302,4436,4206,447,17651,16732,7039,9535,231,20949,10833,2281,3151,1,25:33,2020,2021
2020-21,1626245,Cristiano Felicio,Cristiano,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,18.0,0.0,5.0,0.0,4.0,5.0,5.0,7.0,10.0,0.0,0.0,2.0,1.0,17.6,1,1,1,1,15627,10450,897,8314,8241,7357,9759,14170,18333,7210,1,10833,10308,12582,1,17:57,2020,2021
2020-21,202066,Garrett Temple,Garrett,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,28.6,0.0,0.0,0.0,2.0,14.0,9.0,12.0,34.0,0.0,0.0,1.0,0.0,13.1,1,1,1,1,7608,10450,8917,8314,11929,19636,16732,20034,3716,7210,1,4919,16020,15414,1,28:38,2020,2021
2020-21,1627756,Denzel Valentine,Denzel,1610612741,CHI,Chicago Bulls,22001068,2021-05-16T00:00:00,CHI vs. MIL,W,20.8,0.0,0.0,2.0,2.0,5.0,4.0,3.0,10.0,1.0,1.0,3.0,1.0,17.9,1,1,1,1,13567,10450,8917,4206,11929,7357,7453,7039,18333,2271,15321,16132,10308,12397,1,20:49,2020,2021
