player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
1629014,Anfernee Simons,Anfernee,1610612757,POR,22.0,6,2,4,0.333,107.315,131.5,4.4,0.127,0.197,0.7,0.286,0.3,0.125,10.7,13.4,13.8,33.5,-1.31,100,115,95,131,122,227,135,112,112,135,39,121,112,140,209,220,138,226
1629604,CJ Elleby,CJ,1610612757,POR,21.0,2,1,1,0.5,8.0,94.1,9.0,0.2,0.286,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,-0.619,209,137,8,96,213,45,20,39,47,180,180,156,156,235,1,1,1,51
203468,CJ McCollum,CJ,1610612757,POR,29.0,6,2,4,0.333,239.565,122.3,4.5,0.122,0.195,0.3,0.077,0.6,0.143,8.1,13.2,8.1,32.5,-1.13,100,115,95,131,58,202,128,124,114,171,168,90,103,47,205,116,116,199
2546,Carmelo Anthony,Carmelo,1610612757,POR,37.0,6,2,4,0.333,143.27,131.5,4.3,0.121,0.193,0.5,0.222,0.3,0.091,11.1,11.8,13.8,33.2,-1.318,100,115,95,131,99,228,137,129,115,151,76,136,129,150,189,222,130,228
203081,Damian Lillard,Damian,1610612757,POR,30.0,6,2,4,0.333,247.93166666666667,120.5,3.6,0.097,0.152,0.9,0.222,0.6,0.143,8.3,12.8,7.6,33.4,-1.108,100,115,95,131,57,189,164,166,155,113,76,92,103,52,200,102,135,194
1627884,Derrick Jones Jr.,Derrick,1610612757,POR,24.0,2,1,1,0.5,10.466666666666669,118.2,0.0,0.0,0.0,3.4,0.5,0.0,0.0,0.0,10.3,0.0,27.5,-1.112,209,137,8,96,206,180,219,219,219,7,6,156,156,1,149,1,43,195
202683,Enes Freedom,Enes,1610612757,POR,29.0,5,2,3,0.4,56.068333333333335,143.1,4.5,0.137,0.233,0.0,0.0,1.3,0.4,10.3,18.6,9.0,42.4,-1.507,120,115,64,118,154,237,129,102,79,180,180,48,38,116,225,145,226,237
1628385,Harry Giles III,Harry,1610612757,POR,23.0,1,0,1,0.0,3.6,71.4,10.0,0.333,0.333,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,-0.13,228,201,8,201,228,12,15,7,22,180,180,156,156,239,1,1,1,12
203994,Jusuf Nurkić,Jusuf,1610612757,POR,26.0,6,2,4,0.333,173.34666666666666,113.8,9.1,0.246,0.367,0.6,0.136,1.5,0.318,6.2,11.0,7.5,31.2,-0.975,100,115,95,131,82,152,19,20,12,143,138,40,57,29,174,101,86,152
1629833,Keljin Blevins,Keljin,1610612757,POR,25.0,2,1,1,0.5,3.885,122.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.318,209,137,8,96,227,200,219,219,219,180,180,156,156,1,1,1,1,227
1629642,Nassir Little,Nassir,1610612757,POR,21.0,3,1,2,0.333,9.135,90.0,3.9,0.091,0.125,0.0,0.0,3.9,1.0,19.7,0.0,0.0,0.0,-0.548,193,137,35,131,212,39,149,171,182,180,180,8,1,228,1,1,1,40
1626181,Norman Powell,Norman,1610612757,POR,28.0,6,2,4,0.333,216.06333333333333,120.1,1.7,0.043,0.069,0.8,0.2,1.0,0.222,8.5,14.5,7.8,32.0,-1.098,100,115,95,131,65,188,215,217,214,118,95,64,77,55,217,109,105,188
203496,Robert Covington,Robert,1610612757,POR,30.0,6,2,4,0.333,228.2333333333333,118.6,6.0,0.158,0.253,1.4,0.321,0.9,0.222,8.0,14.2,8.2,33.4,-1.069,100,115,95,131,60,183,68,75,60,47,32,67,77,46,215,123,137,182
1626178,Rondae Hollis-Jefferson,Rondae,1610612757,POR,26.0,5,1,4,0.2,35.635,114.1,5.1,0.143,0.227,1.0,0.5,1.0,0.333,10.1,10.1,9.1,24.2,-0.973,120,137,95,163,168,153,99,92,83,94,6,63,49,110,142,148,28,151
1628388,T.J. Leaf,T.J.,1610612757,POR,24.0,3,1,2,0.333,7.485,100.0,4.8,0.125,0.2,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-0.746,193,137,35,131,215,54,112,115,105,180,180,156,156,237,1,1,1,70
