season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2020-21,1610612762,42000141,2021-05-23,MEM,UTA,1610612763,109,112,L,rnd1,1
2020-21,1610612762,42000142,2021-05-26,MEM,UTA,1610612763,141,129,W,rnd1,2
2020-21,1610612762,42000143,2021-05-29,UTA,MEM,1610612763,121,111,W,rnd1,3
2020-21,1610612762,42000144,2021-05-31,UTA,MEM,1610612763,120,113,W,rnd1,4
2020-21,1610612762,42000145,2021-06-02,MEM,UTA,1610612763,126,110,W,rnd1,5
2020-21,1610612762,42000221,2021-06-08,LAC,UTA,1610612746,112,109,W,sf,1
2020-21,1610612762,42000222,2021-06-10,LAC,UTA,1610612746,117,111,W,sf,2
2020-21,1610612762,42000223,2021-06-12,UTA,LAC,1610612746,106,132,L,sf,3
2020-21,1610612762,42000224,2021-06-14,UTA,LAC,1610612746,104,118,L,sf,4
2020-21,1610612762,42000225,2021-06-16,LAC,UTA,1610612746,111,119,L,sf,5
2020-21,1610612762,42000226,2021-06-18,UTA,LAC,1610612746,119,131,L,sf,6
