game_id,game_date,away_team,home_team,game_no,pf,opp_pf
22300074,2023-10-25,POR,LAC,1,111,123.0
22300086,2023-10-27,ORL,POR,2,97,102.0
22300098,2023-10-29,POR,PHI,3,98,126.0
22300105,2023-10-30,POR,TOR,4,99,91.0
22300115,2023-11-01,POR,DET,5,110,101.0
22300007,2023-11-03,MEM,POR,6,115,113.0
22300144,2023-11-05,MEM,POR,7,100,112.0
22300170,2023-11-08,POR,SAC,8,118,121.0
22300187,2023-11-12,POR,LAL,9,110,116.0
22300023,2023-11-14,POR,UTA,10,99,115.0
22300199,2023-11-15,CLE,POR,11,95,109.0
22300036,2023-11-17,LAL,POR,12,95,107.0
22300215,2023-11-19,OKC,POR,13,91,134.0
22300041,2023-11-21,POR,PHX,14,107,120.0
22300237,2023-11-22,UTA,POR,15,121,105.0
22300245,2023-11-26,POR,MIL,16,102,108.0
22300254,2023-11-27,POR,IND,17,114,110.0
22300265,2023-11-30,POR,CLE,18,103,95.0
22300289,2023-12-02,POR,UTA,19,113,118.0
22301214,2023-12-06,POR,GSW,20,106,110.0
22301226,2023-12-08,DAL,POR,21,112,125.0
22300304,2023-12-11,POR,LAC,22,127,132.0
22300323,2023-12-14,UTA,POR,23,114,122.0
22300341,2023-12-16,DAL,POR,24,120,131.0
22300348,2023-12-17,GSW,POR,25,114,118.0
22300363,2023-12-19,PHX,POR,26,109,104.0
22300381,2023-12-21,WAS,POR,27,117,118.0
22300399,2023-12-23,POR,GSW,28,106,126.0
22300413,2023-12-26,SAC,POR,29,130,113.0
22300427,2023-12-28,SAS,POR,30,105,118.0
22300437,2023-12-29,SAS,POR,31,134,128.0
22300456,2024-01-01,POR,PHX,32,88,109.0
22300472,2024-01-03,POR,DAL,33,97,126.0
22300487,2024-01-05,POR,DAL,34,103,139.0
22300498,2024-01-07,POR,BKN,35,134,127.0
22300514,2024-01-09,POR,NYK,36,84,112.0
22300529,2024-01-11,POR,OKC,37,77,139.0
22300538,2024-01-12,POR,MIN,38,93,116.0
22300554,2024-01-14,PHX,POR,39,116,127.0
22300578,2024-01-17,BKN,POR,40,105,103.0
22300590,2024-01-19,IND,POR,41,118,115.0
22300605,2024-01-21,POR,LAL,42,110,134.0
22300617,2024-01-23,POR,OKC,43,109,111.0
22300623,2024-01-24,POR,HOU,44,137,131.0
22300641,2024-01-26,POR,SAS,45,100,116.0
22300656,2024-01-28,CHI,POR,46,96,104.0
22300668,2024-01-29,PHI,POR,47,130,104.0
22300683,2024-01-31,MIL,POR,48,119,116.0
22300697,2024-02-02,POR,DEN,49,108,120.0
22300712,2024-02-04,POR,DEN,50,103,112.0
22300741,2024-02-08,DET,POR,51,122,128.0
22300758,2024-02-10,NOP,POR,52,84,93.0
22300775,2024-02-13,MIN,POR,53,109,121.0
22300791,2024-02-15,MIN,POR,54,91,128.0
22300812,2024-02-23,DEN,POR,55,112,127.0
22300826,2024-02-25,CHA,POR,56,80,93.0
22300842,2024-02-27,MIA,POR,57,96,106.0
22300861,2024-03-01,POR,MEM,58,122,92.0
22300868,2024-03-02,POR,MEM,59,107,100.0
22300881,2024-03-04,POR,MIN,60,114,119.0
22300900,2024-03-06,OKC,POR,61,120,128.0
22300916,2024-03-08,HOU,POR,62,107,123.0
22300923,2024-03-09,TOR,POR,63,128,118.0
22300938,2024-03-11,BOS,POR,64,99,121.0
22300953,2024-03-13,ATL,POR,65,106,102.0
22300960,2024-03-14,NYK,POR,66,93,105.0
22300970,2024-03-16,POR,NOP,67,107,126.0
22300986,2024-03-18,POR,CHI,68,107,110.0
22301003,2024-03-20,LAC,POR,69,103,116.0
22301017,2024-03-22,LAC,POR,70,117,125.0
22301026,2024-03-23,DEN,POR,71,111,114.0
22301038,2024-03-25,POR,HOU,72,92,110.0
22301051,2024-03-27,POR,ATL,73,106,120.0
22301068,2024-03-29,POR,MIA,74,82,142.0
22301090,2024-04-01,POR,ORL,75,103,104.0
22301102,2024-04-03,POR,CHA,76,89,86.0
22301117,2024-04-05,POR,WAS,77,108,102.0
22301134,2024-04-07,POR,BOS,78,107,124.0
22301157,2024-04-09,NOP,POR,79,100,110.0
22301169,2024-04-11,GSW,POR,80,92,100.0
22301183,2024-04-12,HOU,POR,81,107,116.0
22301200,2024-04-14,POR,SAC,82,82,121.0
