season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2021-22,1610612738,42100111,2022-04-17,BKN,BOS,BKN,1610612751,115,114,W,1,rnd1,1
2021-22,1610612738,42100112,2022-04-20,BKN,BOS,BKN,1610612751,114,107,W,7,rnd1,2
2021-22,1610612738,42100113,2022-04-23,BOS,BKN,BKN,1610612751,109,103,W,6,rnd1,3
2021-22,1610612738,42100114,2022-04-25,BOS,BKN,BKN,1610612751,116,112,W,4,rnd1,4
2021-22,1610612738,42100211,2022-05-01,MIL,BOS,MIL,1610612749,89,101,L,-12,sf,1
2021-22,1610612738,42100212,2022-05-03,MIL,BOS,MIL,1610612749,109,86,W,23,sf,2
2021-22,1610612738,42100213,2022-05-07,BOS,MIL,MIL,1610612749,101,103,L,-2,sf,3
2021-22,1610612738,42100214,2022-05-09,BOS,MIL,MIL,1610612749,116,108,W,8,sf,4
2021-22,1610612738,42100215,2022-05-11,MIL,BOS,MIL,1610612749,107,110,L,-3,sf,5
2021-22,1610612738,42100216,2022-05-13,BOS,MIL,MIL,1610612749,108,95,W,13,sf,6
2021-22,1610612738,42100217,2022-05-15,MIL,BOS,MIL,1610612749,109,81,W,28,sf,7
2021-22,1610612738,42100301,2022-05-17,BOS,MIA,MIA,1610612748,107,118,L,-11,conf,1
2021-22,1610612738,42100302,2022-05-19,BOS,MIA,MIA,1610612748,127,102,W,25,conf,2
2021-22,1610612738,42100303,2022-05-21,MIA,BOS,MIA,1610612748,103,109,L,-6,conf,3
2021-22,1610612738,42100304,2022-05-23,MIA,BOS,MIA,1610612748,102,82,W,20,conf,4
2021-22,1610612738,42100305,2022-05-25,BOS,MIA,MIA,1610612748,93,80,W,13,conf,5
2021-22,1610612738,42100306,2022-05-27,MIA,BOS,MIA,1610612748,103,111,L,-8,conf,6
2021-22,1610612738,42100307,2022-05-29,BOS,MIA,MIA,1610612748,100,96,W,4,conf,7
2021-22,1610612738,42100401,2022-06-02,BOS,GSW,GSW,1610612744,120,108,W,12,finals,1
2021-22,1610612738,42100402,2022-06-05,BOS,GSW,GSW,1610612744,88,107,L,-19,finals,2
2021-22,1610612738,42100403,2022-06-08,GSW,BOS,GSW,1610612744,116,100,W,16,finals,3
2021-22,1610612738,42100404,2022-06-10,GSW,BOS,GSW,1610612744,97,107,L,-10,finals,4
2021-22,1610612738,42100405,2022-06-13,BOS,GSW,GSW,1610612744,94,104,L,-10,finals,5
2021-22,1610612738,42100406,2022-06-16,GSW,BOS,GSW,1610612744,90,103,L,-13,finals,6
