player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
203083,Andre Drummond,Andre,1610612751,BKN,28.0,4,0,4,0.0,59.91666666666666,3.6,6.6,0.545,0.0,0.0,0.0,1.8,3.0,0.6,1.8,5.4,7.2,1.8,3.6,3.0,1.8,0.6,7.2,3.6,9.0,-15.0,31.2,0,0,27.6,169,186,80,186,153,160,187,44,162,187,162,105,83,153,68,77,79,141,25,14,16,95,14,57,171,189,90,44,3,113
201933,Blake Griffin,Blake,1610612751,BKN,33.0,2,0,2,0.0,25.456666666666667,2.8,9.9,0.286,2.8,7.1,0.4,2.8,2.8,1.0,2.8,2.8,5.7,5.7,1.4,1.4,1.4,0.0,4.2,8.5,11.3,8.5,33.7,0,0,31.1,194,186,185,186,173,183,130,190,32,48,44,63,94,1,37,177,116,30,122,57,19,158,53,5,144,30,71,44,3,77
1628971,Bruce Brown,Bruce,1610612751,BKN,25.0,4,0,4,0.0,138.64333333333337,5.5,9.6,0.568,1.6,3.6,0.429,2.1,2.6,0.8,1.6,3.4,4.9,2.9,2.3,1.3,0.8,0.8,4.2,2.6,14.5,-7.0,28.6,0,0,28.0,169,186,80,186,102,86,136,34,109,132,32,88,103,80,79,160,139,102,63,68,60,68,56,107,96,151,109,44,3,109
1630560,Cam Thomas,Cam,1610612751,BKN,20.0,1,0,1,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.5,0.0,0,0,0.0,207,186,203,186,216,203,211,203,162,187,162,176,180,176,180,206,209,191,186,177,148,158,197,191,206,1,214,44,3,214
1630549,Day'Ron Sharpe,Day'Ron,1610612751,BKN,20.0,1,0,1,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.5,0.0,0,0,0.0,207,186,203,186,216,203,211,203,162,187,162,176,180,176,180,206,209,191,186,177,148,158,197,191,206,1,214,44,3,214
201609,Goran Dragic,Goran,1610612751,BKN,36.0,4,0,4,0.0,79.16333333333333,8.2,14.6,0.563,1.8,5.5,0.333,0.9,0.9,1.0,2.7,5.5,8.2,2.7,2.3,1.4,0.0,0.0,5.0,1.4,19.1,5.5,34.8,0,0,34.6,169,186,80,186,139,27,58,37,85,89,94,144,165,1,41,72,55,109,67,62,148,158,33,164,42,43,60,44,3,47
1630556,Kessler Edwards,Kessler,1610612751,BKN,21.0,2,0,2,0.0,7.156666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,15.1,0.0,0.0,-25.2,17.6,0,0,15.1,194,186,185,186,205,203,211,203,162,187,162,176,180,176,180,206,209,40,11,7,148,158,3,191,206,204,195,44,3,201
201142,Kevin Durant,Kevin,1610612751,BKN,33.0,4,0,4,0.0,176.00333333333333,6.5,17.0,0.386,1.4,4.3,0.333,7.0,7.8,0.895,0.4,4.3,4.7,5.1,4.3,0.8,0.2,1.4,3.1,7.6,21.5,-6.3,33.6,0,0,34.8,169,186,80,186,79,54,32,155,116,118,94,11,14,40,168,121,148,39,18,122,140,13,115,12,31,147,74,44,3,43
202681,Kyrie Irving,Kyrie,1610612751,BKN,30.0,4,0,4,0.0,170.45166666666665,5.9,13.3,0.444,1.7,4.4,0.381,4.4,4.4,1.0,1.3,3.2,4.4,4.4,1.9,1.5,1.1,0.6,2.7,3.4,18.0,-1.9,35.6,0,0,33.6,169,186,80,186,86,69,80,103,95,115,67,35,50,1,94,167,153,55,89,53,40,90,140,63,57,119,52,44,3,57
1629651,Nic Claxton,Nic,1610612751,BKN,23.0,4,0,4,0.0,97.87666666666668,7.0,8.8,0.792,0.0,0.0,0.0,1.5,8.1,0.182,2.6,6.6,9.2,2.2,0.7,1.8,3.3,0.0,2.2,5.5,15.4,-3.3,44.5,0,0,37.1,169,186,80,186,132,43,147,7,162,187,162,119,11,175,43,49,48,123,169,34,4,158,165,23,83,131,18,44,3,30
201988,Patty Mills,Patty,1610612751,BKN,33.0,4,0,4,0.0,72.34,4.5,8.0,0.563,3.5,6.5,0.538,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,0.5,0.0,2.5,0.5,12.4,1.0,15.8,0,0,18.9,169,186,80,186,142,125,160,37,16,61,10,176,180,176,180,197,205,191,180,177,93,158,152,188,121,89,201,44,3,188
203552,Seth Curry,Seth,1610612751,BKN,31.0,4,0,4,0.0,132.23166666666663,6.0,10.6,0.564,3.3,6.3,0.522,0.5,0.8,0.667,0.5,2.2,2.7,3.3,0.8,0.3,0.8,0.5,4.1,1.1,15.8,-2.2,26.4,0,0,27.2,169,186,80,186,109,68,120,35,20,65,14,164,169,133,152,194,200,84,166,173,55,105,61,176,75,123,137,44,3,119
