season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22024,1631099,Keegan Murray,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.544,76,0.409,1.043,0.397,0.021,0.046,0.021,0.005,0.389,0.54,4.9,5.1,1.8,4.6,2.8,SAC
22024,1631165,Keon Ellis,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.85,80,0.436,1.201,0.443,0.032,0.056,0.028,0.004,0.43,0.632,3.1,3.7,1.3,2.9,1.6,SAC
22024,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.598,77,0.175,1.068,0.413,0.075,0.029,0.075,0.014,0.437,0.52,3.6,3.9,1.4,3.3,1.9,SAC
22024,1628370,Malik Monk,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.142,65,0.21,0.846,0.333,0.012,0.037,0.012,0.0,0.329,0.432,3.8,3.2,1.2,3.6,2.4,SAC
22024,1626168,Trey Lyles,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.574,69,0.364,1.061,0.385,0.024,0.036,0.024,0.006,0.376,0.548,2.4,2.5,0.9,2.3,1.4,SAC
22024,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.464,45,0.145,1.012,0.376,0.104,0.043,0.104,0.006,0.421,0.489,3.6,3.7,1.2,3.1,2.0,SAC
22024,1627734,Domantas Sabonis,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.637,70,0.105,1.085,0.432,0.031,0.062,0.031,0.008,0.419,0.572,1.8,2.0,0.7,1.7,1.0,SAC
22024,203897,Zach LaVine,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.873,32,0.164,1.219,0.484,0.048,0.067,0.048,0.019,0.467,0.637,3.3,4.0,1.4,3.0,1.5,SAC
22024,1628989,Kevin Huerter,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.356,43,0.368,0.97,0.372,0.023,0.061,0.023,0.0,0.364,0.508,3.1,3.0,1.0,2.8,1.8,SAC
22024,1631222,Jake LaRavia,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.389,19,0.418,0.98,0.378,0.078,0.039,0.078,0.0,0.392,0.522,2.7,2.6,0.9,2.4,1.5,SAC
22024,1642269,Devin Carter,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.179,36,0.331,0.873,0.333,0.109,0.073,0.091,0.0,0.364,0.456,1.5,1.3,0.4,1.3,0.8,SAC
22024,203109,Jae Crowder,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.997,9,0.357,1.6,0.5,0.2,0.0,0.2,0.0,0.6,0.688,1.1,1.8,0.4,0.9,0.4,SAC
22024,1641732,Colby Jones,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.771,24,0.394,1.154,0.5,0.0,0.077,0.0,0.0,0.462,0.625,0.5,0.6,0.3,0.5,0.3,SAC
