season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2017-18,1610612738,BOS,41700111,2018-04-15,MIL,BOS,1610612749,113,107,W,6,rnd1,1
2017-18,1610612738,BOS,41700112,2018-04-17,MIL,BOS,1610612749,120,106,W,14,rnd1,2
2017-18,1610612738,BOS,41700113,2018-04-20,BOS,MIL,1610612749,92,116,L,-24,rnd1,3
2017-18,1610612738,BOS,41700114,2018-04-22,BOS,MIL,1610612749,102,104,L,-2,rnd1,4
2017-18,1610612738,BOS,41700115,2018-04-24,MIL,BOS,1610612749,92,87,W,5,rnd1,5
2017-18,1610612738,BOS,41700116,2018-04-26,BOS,MIL,1610612749,86,97,L,-11,rnd1,6
2017-18,1610612738,BOS,41700117,2018-04-28,MIL,BOS,1610612749,112,96,W,16,rnd1,7
2017-18,1610612738,BOS,41700211,2018-04-30,PHI,BOS,1610612755,117,101,W,16,sf,1
2017-18,1610612738,BOS,41700212,2018-05-03,PHI,BOS,1610612755,108,103,W,5,sf,2
2017-18,1610612738,BOS,41700213,2018-05-05,BOS,PHI,1610612755,101,98,W,3,sf,3
2017-18,1610612738,BOS,41700214,2018-05-07,BOS,PHI,1610612755,92,103,L,-11,sf,4
2017-18,1610612738,BOS,41700215,2018-05-09,PHI,BOS,1610612755,114,112,W,2,sf,5
2017-18,1610612738,BOS,41700301,2018-05-13,CLE,BOS,1610612739,108,83,W,25,conf,1
2017-18,1610612738,BOS,41700302,2018-05-15,CLE,BOS,1610612739,107,94,W,13,conf,2
2017-18,1610612738,BOS,41700303,2018-05-19,BOS,CLE,1610612739,86,116,L,-30,conf,3
2017-18,1610612738,BOS,41700304,2018-05-21,BOS,CLE,1610612739,102,111,L,-9,conf,4
2017-18,1610612738,BOS,41700305,2018-05-23,CLE,BOS,1610612739,96,83,W,13,conf,5
2017-18,1610612738,BOS,41700306,2018-05-25,BOS,CLE,1610612739,99,109,L,-10,conf,6
2017-18,1610612738,BOS,41700307,2018-05-27,CLE,BOS,1610612739,79,87,L,-8,conf,7
2017-18,1610612739,CLE,41700131,2018-04-15,IND,CLE,1610612754,80,98,L,-18,rnd1,1
2017-18,1610612739,CLE,41700132,2018-04-18,IND,CLE,1610612754,100,97,W,3,rnd1,2
