player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
202324,Derrick Favors,1610612762,UTA,24.0,62,62,0.548,4.69,6.61,0.71,0.71,0.548,4.69,6.61,0.71,0.0,0.0,0.0,
202330,Gordon Hayward,1610612762,UTA,26.0,80,79,0.344,2.89,4.93,0.586,0.586,0.344,2.89,4.93,0.586,0.0,0.0,0.0,
203497,Rudy Gobert,1610612762,UTA,24.0,61,60,0.949,3.16,4.85,0.652,0.652,0.949,3.16,4.85,0.652,0.0,0.0,0.0,
202692,Alec Burks,1610612762,UTA,24.0,31,30,0.384,2.16,3.81,0.568,0.568,0.384,2.16,3.81,0.568,0.0,0.0,0.0,
202344,Trevor Booker,1610612762,UTA,28.0,79,75,0.773,2.13,3.62,0.587,0.587,0.773,2.13,3.62,0.587,0.0,0.0,0.0,
202714,Shelvin Mack,1610612762,UTA,26.0,52,45,0.413,1.96,3.12,0.63,0.63,0.413,1.96,3.12,0.63,0.0,0.0,0.0,
203918,Rodney Hood,1610612762,UTA,23.0,79,75,0.264,1.77,3.11,0.569,0.569,0.264,1.77,3.11,0.569,0.0,0.0,0.0,
203481,Jeff Withey,1610612762,UTA,26.0,51,39,0.829,1.53,2.37,0.645,0.645,0.829,1.53,2.37,0.645,0.0,0.0,0.0,
203504,Trey Burke,1610612762,UTA,23.0,64,56,0.251,1.33,2.36,0.563,0.563,0.251,1.33,2.36,0.563,0.0,0.0,0.0,
1626168,Trey Lyles,1610612762,UTA,20.0,80,58,0.366,0.99,1.93,0.513,0.513,0.366,0.99,1.93,0.513,0.0,0.0,0.0,
203526,Raul Neto,1610612762,UTA,24.0,81,60,0.341,0.95,1.64,0.579,0.579,0.341,0.95,1.64,0.579,0.0,0.0,0.0,
202353,Tibor Pleiss,1610612762,UTA,26.0,12,7,0.714,0.58,1.25,0.467,0.467,0.714,0.58,1.25,0.467,0.0,0.0,0.0,
202407,Elijah Millsap,1610612762,UTA,28.0,20,11,0.6,0.5,1.05,0.476,0.476,0.6,0.5,1.05,0.476,0.0,0.0,0.0,
203187,Chris Johnson,1610612762,UTA,26.0,70,34,0.272,0.49,0.7,0.694,0.694,0.272,0.49,0.7,0.694,0.0,0.0,0.0,
1626266,JJ O'Brien,1610612762,UTA,24.0,2,1,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,
204060,Joe Ingles,1610612762,UTA,28.0,81,29,0.137,0.35,0.48,0.718,0.718,0.137,0.35,0.48,0.718,0.0,0.0,0.0,
